RUTA,FECHA,DIA SEMANA,HORA PREVIA,PARADA,ORIENTACION,HORA CAMION
2,05-10-2021,1,12:51:00,31,0,13:31:00
2,29-10-2022,5,12:46:00,27,1,13:26:00
2,17-06-2021,3,16:20:00,45,0,17:00:00
3,23-05-2022,0,23:25:00,58,1,05:25:00
2,23-10-2020,4,13:00:00,100,0,13:40:00
2,23-10-2022,6,18:55:00,92,1,19:35:00
1,27-09-2022,1,13:40:00,56,0,14:00:00
1,16-09-2021,3,10:40:00,34,0,11:00:00
3,02-12-2020,2,12:25:00,56,1,12:45:00
3,19-06-2021,5,14:45:00,12,1,15:05:00
1,07-07-2021,2,17:48:00,17,0,18:08:00
3,04-10-2022,1,12:15:00,31,1,12:35:00
1,07-05-2022,5,06:39:00,49,1,06:59:00
1,24-06-2021,3,09:11:00,91,1,09:31:00
1,08-11-2021,0,07:34:00,74,0,07:54:00
3,25-06-2021,4,21:50:00,21,1,22:10:00
1,08-05-2022,6,14:13:00,49,0,14:33:00
2,20-05-2020,2,14:07:00,80,1,14:47:00
1,22-07-2021,3,15:21:00,84,0,15:41:00
1,18-01-2021,0,06:43:00,107,1,07:03:00
1,18-09-2022,6,10:55:00,28,0,11:15:00
2,25-03-2021,3,15:45:00,51,0,16:25:00
3,11-04-2022,0,11:08:00,70,0,11:28:00
1,18-04-2021,6,08:02:00,7,1,08:22:00
1,09-12-2022,4,09:55:00,43,1,05:15:00
2,22-01-2021,4,11:24:00,26,1,12:04:00
1,11-04-2021,6,09:13:00,18,1,09:33:00
3,14-08-2020,4,17:23:00,8,0,17:43:00
3,23-11-2021,1,17:20:00,2,1,17:40:00
2,28-12-2021,1,12:56:00,94,1,13:36:00
3,30-12-2021,3,19:39:00,78,1,19:59:00
1,13-05-2020,2,07:25:00,85,1,07:45:00
2,03-01-2022,0,13:05:00,52,1,13:45:00
3,02-08-2020,6,16:16:00,26,0,16:36:00
1,22-03-2021,0,07:40:00,34,0,08:00:00
3,28-10-2021,3,06:13:00,26,1,06:33:00
2,11-03-2020,2,07:50:00,2,0,08:30:00
2,02-02-2021,1,18:20:00,44,1,19:00:00
2,10-04-2022,6,06:38:00,15,0,07:18:00
3,01-06-2022,2,08:21:00,46,1,08:41:00
1,26-05-2021,2,18:55:00,27,0,19:15:00
3,14-02-2020,4,22:26:00,14,1,22:46:00
3,19-05-2020,1,20:24:00,89,1,20:44:00
1,16-11-2021,1,07:02:00,106,1,07:22:00
2,18-03-2022,4,08:03:00,73,1,08:43:00
3,13-09-2021,0,07:09:00,73,0,07:29:00
3,08-06-2021,1,14:10:00,74,0,14:30:00
3,20-12-2022,1,08:55:00,81,0,09:15:00
1,27-07-2022,2,08:46:00,59,1,09:06:00
2,02-04-2022,5,08:08:00,81,0,08:48:00
1,14-05-2022,5,06:53:00,25,0,07:13:00
2,19-09-2020,5,10:55:00,92,1,11:35:00
2,10-03-2020,1,06:09:00,83,1,06:49:00
1,04-03-2021,3,10:15:00,27,0,10:35:00
3,24-09-2022,5,23:45:00,97,0,00:05:00
3,23-02-2020,6,05:35:00,31,1,05:55:00
3,03-07-2022,6,10:25:00,97,0,10:45:00
1,04-10-2021,0,18:40:00,130,0,19:00:00
3,06-05-2020,2,13:10:00,66,1,13:30:00
3,08-03-2020,6,18:08:00,18,1,18:28:00
1,20-02-2022,6,13:42:00,86,0,14:02:00
2,07-12-2021,1,11:19:00,17,0,11:59:00
2,29-11-2021,0,13:14:00,62,1,13:54:00
2,09-02-2020,6,08:45:00,76,0,09:25:00
1,13-03-2020,4,09:52:00,119,1,10:12:00
3,14-11-2020,5,11:23:00,84,1,11:43:00
1,10-01-2020,4,05:20:00,50,1,05:40:00
3,24-10-2021,6,15:18:00,87,0,15:38:00
1,04-10-2020,6,09:37:00,78,0,09:57:00
2,09-01-2023,0,10:04:00,75,0,10:44:00
1,27-08-2021,4,12:19:00,82,0,12:39:00
1,01-08-2020,5,06:16:00,120,0,06:36:00
1,05-10-2021,1,09:02:00,7,1,09:22:00
3,02-12-2022,4,17:41:00,4,1,18:01:00
3,31-10-2020,5,17:01:00,91,0,17:21:00
3,22-12-2022,3,19:20:00,1,0,19:40:00
3,03-06-2021,3,23:50:00,74,0,05:50:00
1,17-12-2020,3,06:17:00,97,1,06:37:00
1,28-03-2021,6,08:55:00,28,0,09:15:00
2,06-04-2021,1,08:34:00,62,1,09:14:00
3,15-11-2021,0,09:11:00,76,0,09:31:00
1,18-04-2020,5,05:47:00,62,1,06:07:00
3,11-03-2020,2,10:16:00,83,0,10:36:00
2,23-09-2022,4,11:11:00,57,0,11:51:00
3,14-03-2022,0,16:06:00,13,1,16:26:00
1,27-05-2022,4,09:03:00,54,1,09:23:00
1,08-08-2021,6,08:49:00,66,1,09:09:00
1,17-03-2022,3,10:29:00,68,0,10:49:00
1,19-06-2020,4,06:55:00,73,1,07:15:00
3,06-08-2020,3,20:56:00,51,0,21:16:00
3,04-09-2021,5,22:21:00,5,0,22:41:00
1,01-06-2022,2,12:36:00,119,0,12:56:00
3,19-12-2021,6,20:17:00,35,1,20:37:00
1,24-07-2021,5,16:12:00,72,0,16:32:00
2,30-05-2021,6,08:22:00,102,0,09:02:00
3,07-11-2022,0,05:37:00,35,1,05:57:00
3,20-01-2022,3,12:13:00,78,0,12:33:00
3,25-06-2022,5,16:03:00,61,0,16:23:00
3,06-01-2022,3,06:36:00,33,1,06:56:00
1,11-05-2021,1,09:06:00,63,0,09:26:00
3,19-06-2020,4,06:38:00,29,0,06:58:00
3,30-11-2021,1,13:15:00,32,1,13:35:00
1,10-03-2020,1,07:05:00,111,1,07:25:00
3,02-12-2020,2,06:17:00,75,1,06:37:00
2,14-07-2020,1,19:43:00,48,1,05:43:00
1,18-10-2020,6,18:59:00,128,0,19:19:00
3,27-11-2022,6,19:00:00,45,1,19:20:00
1,02-12-2022,4,10:39:00,99,1,05:59:00
1,17-02-2020,0,16:07:00,16,0,16:27:00
2,31-05-2020,6,18:32:00,58,1,19:12:00
2,29-01-2020,2,11:57:00,65,0,12:37:00
2,06-02-2022,6,17:26:00,78,1,18:06:00
1,26-05-2020,1,09:47:00,111,0,10:07:00
3,05-08-2021,3,16:26:00,13,1,16:46:00
2,16-06-2020,1,14:31:00,3,1,15:11:00
3,25-11-2022,4,17:30:00,75,0,17:50:00
2,29-03-2022,1,18:02:00,23,1,18:42:00
1,26-08-2020,2,09:39:00,25,1,04:59:00
1,28-05-2022,5,18:26:00,64,0,18:46:00
3,14-02-2021,6,17:22:00,59,0,17:42:00
3,28-10-2020,2,08:29:00,18,0,08:49:00
3,26-10-2021,1,09:33:00,78,0,09:53:00
2,22-12-2021,2,10:02:00,24,1,10:42:00
2,11-02-2022,4,05:32:00,32,0,06:12:00
3,02-07-2020,3,10:01:00,47,1,10:21:00
2,12-06-2021,5,06:16:00,94,0,06:56:00
3,14-03-2020,5,21:38:00,76,1,21:58:00
3,01-06-2022,2,06:30:00,43,0,06:50:00
2,09-08-2020,6,10:04:00,26,1,10:44:00
3,05-10-2021,1,15:45:00,58,1,16:05:00
1,28-08-2020,4,07:27:00,33,1,07:47:00
2,18-10-2022,1,06:49:00,82,1,07:29:00
2,07-11-2021,6,11:58:00,66,0,12:38:00
3,21-04-2021,2,09:45:00,90,1,10:05:00
3,25-08-2020,1,15:00:00,2,1,15:20:00
2,06-08-2020,3,09:31:00,86,0,10:11:00
2,31-07-2021,5,12:12:00,88,0,12:52:00
1,13-11-2021,5,06:37:00,22,1,06:57:00
2,20-03-2022,6,16:53:00,91,0,17:33:00
3,28-08-2021,5,16:18:00,76,1,16:38:00
2,04-01-2021,0,16:35:00,63,0,17:15:00
3,12-08-2020,2,20:09:00,41,0,20:29:00
1,11-05-2020,0,08:06:00,92,0,08:26:00
1,04-11-2022,4,08:08:00,63,1,08:28:00
3,27-01-2023,4,21:01:00,92,0,21:21:00
1,01-01-2023,6,06:59:00,82,0,07:19:00
2,06-10-2022,3,11:18:00,66,1,11:58:00
1,08-01-2022,5,07:25:00,58,1,07:45:00
2,18-12-2021,5,15:59:00,68,0,16:39:00
1,19-09-2020,5,17:58:00,32,0,18:18:00
2,19-02-2021,4,14:59:00,43,0,15:39:00
3,14-02-2022,0,21:58:00,28,0,22:18:00
2,06-12-2022,1,16:35:00,63,1,17:15:00
2,12-03-2022,5,10:45:00,77,0,11:25:00
1,19-01-2022,2,20:21:00,4,0,20:41:00
1,05-08-2021,3,07:45:00,12,0,08:05:00
2,29-01-2020,2,07:40:00,45,0,08:20:00
3,28-01-2020,1,06:24:00,55,1,06:44:00
1,02-07-2020,3,10:22:00,80,1,05:42:00
1,19-01-2022,2,07:23:00,8,1,07:43:00
1,14-09-2020,0,21:40:00,129,0,22:00:00
2,25-09-2022,6,14:49:00,83,1,15:29:00
2,16-03-2022,2,17:56:00,12,1,18:36:00
2,03-04-2021,5,13:21:00,21,1,14:01:00
2,13-02-2022,6,13:19:00,68,1,13:59:00
1,19-01-2020,6,09:17:00,78,0,09:37:00
2,12-04-2021,0,16:39:00,68,0,17:19:00
2,25-04-2020,5,11:48:00,54,0,12:28:00
2,14-10-2020,2,17:52:00,5,0,18:32:00
2,04-12-2022,6,12:06:00,79,0,12:46:00
2,06-07-2021,1,13:27:00,80,1,14:07:00
1,18-10-2021,0,07:44:00,10,0,08:04:00
2,24-06-2021,3,18:51:00,30,0,19:31:00
1,17-07-2020,4,19:15:00,51,0,19:35:00
1,20-10-2022,3,06:52:00,118,1,07:12:00
2,29-03-2021,0,06:46:00,78,0,07:26:00
1,17-02-2022,3,09:26:00,93,0,09:46:00
1,16-08-2022,1,06:56:00,96,1,07:16:00
2,24-09-2020,3,12:31:00,3,0,13:11:00
2,11-11-2021,3,19:45:00,52,0,05:45:00
3,10-01-2023,1,13:44:00,63,0,14:04:00
3,28-02-2022,0,20:17:00,75,1,20:37:00
1,24-12-2021,4,12:40:00,129,0,13:00:00
1,12-10-2021,1,08:50:00,45,0,09:10:00
2,09-07-2021,4,20:05:00,77,0,06:05:00
3,22-09-2021,2,06:24:00,64,0,06:44:00
1,10-07-2022,6,11:32:00,71,0,11:52:00
1,05-04-2020,6,05:23:00,8,1,05:43:00
2,18-02-2020,1,10:16:00,38,0,10:56:00
2,30-01-2023,0,05:19:00,16,0,05:59:00
2,19-08-2020,2,07:19:00,68,0,07:59:00
2,14-01-2020,1,18:25:00,51,0,19:05:00
2,05-10-2020,0,18:34:00,62,0,19:14:00
3,20-08-2021,4,20:26:00,14,1,20:46:00
3,04-02-2022,4,17:15:00,71,1,17:35:00
1,02-01-2022,6,16:39:00,128,0,16:59:00
1,13-02-2021,5,18:48:00,67,0,19:08:00
3,04-11-2022,4,22:45:00,97,0,23:05:00
2,28-08-2022,6,11:23:00,73,0,12:03:00
2,25-11-2020,2,08:13:00,35,0,08:53:00
2,23-09-2020,2,10:51:00,30,1,11:31:00
1,01-10-2020,3,10:45:00,111,1,06:05:00
2,15-01-2023,6,07:45:00,52,1,08:25:00
2,23-09-2021,3,05:43:00,48,1,06:23:00
2,26-01-2023,3,12:36:00,12,1,13:16:00
3,20-07-2021,1,07:56:00,34,1,08:16:00
1,05-11-2020,3,09:40:00,103,1,10:00:00
1,31-08-2021,1,06:40:00,3,1,07:00:00
2,03-09-2022,5,14:40:00,18,1,15:20:00
3,17-10-2020,5,15:00:00,1,1,15:20:00
1,19-07-2022,1,05:49:00,15,1,06:09:00
2,10-01-2023,1,12:53:00,89,0,13:33:00
1,09-10-2020,4,18:43:00,88,0,19:03:00
2,25-11-2022,4,07:19:00,16,0,07:59:00
2,13-01-2021,2,09:43:00,48,0,10:23:00
1,17-08-2021,1,06:59:00,82,0,07:19:00
1,29-05-2022,6,13:17:00,31,0,13:37:00
2,18-07-2021,6,11:50:00,2,1,12:30:00
2,09-08-2021,0,14:07:00,80,0,14:47:00
2,07-10-2022,4,08:30:00,56,0,09:10:00
3,12-09-2022,0,09:44:00,95,0,10:04:00
2,13-02-2020,3,18:59:00,42,1,19:39:00
3,15-10-2022,5,14:02:00,6,1,14:22:00
3,28-03-2020,5,11:15:00,82,0,11:35:00
2,12-12-2020,5,07:34:00,36,0,08:14:00
2,30-03-2021,1,10:01:00,70,0,10:41:00
2,29-04-2022,4,19:29:00,82,1,20:09:00
1,19-01-2020,6,11:08:00,17,0,11:28:00
1,05-01-2022,2,13:03:00,61,0,13:23:00
3,28-07-2022,3,00:04:00,96,0,06:04:00
1,21-11-2020,5,10:51:00,46,0,11:11:00
3,18-04-2020,5,07:03:00,8,0,07:23:00
3,03-03-2021,2,06:36:00,83,0,06:56:00
1,16-06-2022,3,05:54:00,99,0,06:14:00
3,30-12-2021,3,07:13:00,47,0,07:33:00
1,12-01-2021,1,05:38:00,48,1,05:58:00
2,21-11-2022,0,12:30:00,56,0,13:10:00
1,27-01-2020,0,22:18:00,122,0,22:38:00
1,23-05-2020,5,12:43:00,60,0,13:03:00
3,29-12-2022,3,12:01:00,91,0,12:21:00
1,22-11-2021,0,09:39:00,100,1,09:59:00
3,31-05-2021,0,12:50:00,74,0,13:10:00
2,27-05-2022,4,20:19:00,98,0,06:19:00
2,09-03-2022,2,15:18:00,66,1,15:58:00
3,18-03-2020,2,06:25:00,97,0,06:45:00
2,18-02-2021,3,14:22:00,47,0,15:02:00
3,27-05-2021,3,06:29:00,72,0,06:49:00
2,09-02-2020,6,18:38:00,67,0,19:18:00
1,08-07-2020,2,21:19:00,128,0,21:39:00
2,03-11-2021,2,19:33:00,91,0,20:13:00
3,10-10-2021,6,14:17:00,84,0,14:37:00
1,13-01-2020,0,07:51:00,22,0,08:11:00
2,28-09-2021,1,17:52:00,5,0,18:32:00
3,27-10-2020,1,20:20:00,56,0,20:40:00
2,20-04-2021,1,05:16:00,11,1,05:56:00
1,04-07-2022,0,21:10:00,20,0,21:30:00
1,27-09-2020,6,13:08:00,65,0,13:28:00
1,31-08-2021,1,06:04:00,9,1,06:24:00
2,30-05-2021,6,13:45:00,52,0,14:25:00
3,11-01-2020,5,18:45:00,12,0,19:05:00
1,21-04-2022,3,07:10:00,36,1,07:30:00
1,06-09-2022,1,05:03:00,8,1,05:23:00
2,19-04-2022,1,18:00:00,69,1,18:40:00
3,21-03-2020,5,10:21:00,33,0,10:41:00
1,24-03-2021,2,21:26:00,64,0,21:46:00
2,21-08-2021,5,08:52:00,33,0,09:32:00
3,17-01-2021,6,14:33:00,47,0,14:53:00
3,08-04-2022,4,22:24:00,11,0,22:44:00
1,30-12-2021,3,09:48:00,64,1,10:08:00
1,17-11-2022,3,05:50:00,67,1,06:10:00
1,07-01-2020,1,12:38:00,80,0,12:58:00
3,14-09-2022,2,08:08:00,71,0,08:28:00
3,06-01-2023,4,12:15:00,80,0,12:35:00
3,07-04-2020,1,13:34:00,28,1,13:54:00
3,04-07-2021,6,14:51:00,76,0,15:11:00
2,20-03-2022,6,08:54:00,36,0,09:34:00
1,31-12-2022,5,06:18:00,76,1,06:38:00
2,26-05-2022,3,20:11:00,86,0,06:11:00
1,20-05-2021,3,13:14:00,26,0,13:34:00
1,21-06-2022,1,04:55:00,27,0,05:15:00
1,22-03-2020,6,21:24:00,11,0,04:44:00
1,25-09-2020,4,07:38:00,47,1,07:58:00
1,09-05-2021,6,13:41:00,6,0,14:01:00
2,10-03-2021,2,09:04:00,105,1,09:44:00
3,01-02-2021,0,19:21:00,46,1,19:41:00
3,23-02-2022,2,07:28:00,16,1,07:48:00
3,18-05-2022,2,06:04:00,52,1,06:24:00
2,10-12-2021,4,12:55:00,37,1,13:35:00
1,23-01-2021,5,19:08:00,18,0,19:28:00
1,06-01-2023,4,10:20:00,1,0,10:40:00
1,05-02-2021,4,19:00:00,3,0,19:20:00
1,27-03-2021,5,09:37:00,75,1,09:57:00
1,11-06-2020,3,11:19:00,127,0,11:39:00
2,08-07-2022,4,16:09:00,82,0,16:49:00
1,08-03-2021,0,07:59:00,25,1,08:19:00
3,30-07-2020,3,18:32:00,21,0,18:52:00
2,13-10-2020,1,12:36:00,11,0,13:16:00
1,18-08-2021,2,08:49:00,35,1,09:09:00
2,10-05-2020,6,14:02:00,24,0,14:42:00
2,18-04-2021,6,07:37:00,95,1,08:17:00
3,23-05-2022,0,11:46:00,38,0,12:06:00
2,12-08-2021,3,19:39:00,43,0,05:39:00
1,07-10-2022,4,11:04:00,10,0,11:24:00
3,28-02-2020,4,13:49:00,42,0,14:09:00
1,10-06-2020,2,05:57:00,21,1,06:17:00
3,24-02-2021,2,11:02:00,82,1,11:22:00
2,25-11-2020,2,12:15:00,37,1,12:55:00
2,05-02-2022,5,07:42:00,102,0,08:22:00
3,08-02-2020,5,13:23:00,86,1,13:43:00
2,15-01-2022,5,16:25:00,52,1,17:05:00
2,22-09-2021,2,08:48:00,29,1,09:28:00
1,09-11-2020,0,07:01:00,52,1,07:21:00
3,01-03-2022,1,06:57:00,85,0,07:17:00
1,20-09-2021,0,16:45:00,110,0,17:05:00
1,14-11-2022,0,19:06:00,13,0,19:26:00
3,12-11-2021,4,21:41:00,81,1,22:01:00
1,08-01-2021,4,11:02:00,108,0,11:22:00
2,28-03-2022,0,18:50:00,85,0,19:30:00
2,17-03-2021,2,13:35:00,93,1,14:15:00
3,13-08-2020,3,18:58:00,77,1,19:18:00
1,11-03-2022,4,20:20:00,106,0,20:40:00
2,25-09-2022,6,08:50:00,85,0,09:30:00
3,04-06-2022,5,12:48:00,70,0,13:08:00
3,29-12-2022,3,09:09:00,42,0,09:29:00
3,21-09-2020,0,15:27:00,61,1,15:47:00
1,29-01-2020,2,17:02:00,37,0,17:22:00
3,19-02-2021,4,12:02:00,6,0,12:22:00
1,04-05-2022,2,06:13:00,98,0,06:33:00
3,31-05-2020,6,08:03:00,9,1,08:23:00
3,18-04-2020,5,13:00:00,1,0,13:20:00
1,12-01-2023,3,05:24:00,31,1,05:44:00
1,10-01-2021,6,07:46:00,32,1,08:06:00
3,25-11-2021,3,10:02:00,35,0,10:22:00
2,25-09-2020,4,10:13:00,91,1,10:53:00
1,25-10-2022,1,07:13:00,121,1,07:33:00
1,21-07-2022,3,17:11:00,69,0,17:31:00
1,22-06-2020,0,13:17:00,78,0,13:37:00
3,29-11-2020,6,14:48:00,17,1,15:08:00
1,18-12-2022,6,06:49:00,65,1,07:09:00
1,08-01-2021,4,09:57:00,130,1,10:17:00
3,14-06-2020,6,21:34:00,48,0,21:54:00
1,27-02-2022,6,07:51:00,22,0,08:11:00
3,10-07-2022,6,19:05:00,37,0,19:25:00
1,13-12-2021,0,14:13:00,24,0,14:33:00
3,20-03-2021,5,08:03:00,50,1,08:23:00
1,27-09-2020,6,05:48:00,94,0,06:08:00
3,10-07-2020,4,07:05:00,13,0,07:25:00
2,30-12-2020,2,17:38:00,41,1,18:18:00
3,18-08-2021,2,19:45:00,13,0,20:05:00
3,21-02-2020,4,05:38:00,77,1,05:58:00
2,03-02-2021,2,17:26:00,78,1,18:06:00
1,02-12-2022,4,05:53:00,71,1,06:13:00
1,02-05-2020,5,09:38:00,132,1,09:58:00
2,10-07-2021,5,11:40:00,100,0,12:20:00
3,19-03-2022,5,15:18:00,77,1,15:38:00
2,07-02-2022,0,07:19:00,16,1,07:59:00
1,13-08-2021,4,13:40:00,3,0,14:00:00
1,01-01-2020,2,06:25:00,58,1,06:45:00
2,29-10-2020,3,08:20:00,100,1,09:00:00
2,25-06-2021,4,06:58:00,96,0,07:38:00
3,26-05-2022,3,06:57:00,84,0,07:17:00
1,13-03-2021,5,16:07:00,111,0,16:27:00
1,13-06-2021,6,08:41:00,79,1,09:01:00
3,16-09-2021,3,05:09:00,20,1,05:29:00
3,15-11-2021,0,11:33:00,27,1,11:53:00
3,28-07-2020,1,17:50:00,22,1,18:10:00
1,21-09-2022,2,06:44:00,56,1,07:04:00
1,03-07-2020,4,06:11:00,91,1,06:31:00
3,29-05-2022,6,10:49:00,20,1,11:09:00
3,10-02-2021,2,11:41:00,92,0,12:01:00
1,21-02-2022,0,08:36:00,127,1,08:56:00
1,08-03-2020,6,06:50:00,90,1,07:10:00
3,22-01-2023,6,21:35:00,50,0,21:55:00
1,01-04-2021,3,07:15:00,43,1,07:35:00
3,02-10-2022,6,06:23:00,9,1,06:43:00
2,24-07-2022,6,13:37:00,95,1,14:17:00
1,17-01-2022,0,08:28:00,43,0,08:48:00
1,03-09-2021,4,12:52:00,47,0,13:12:00
2,18-09-2022,6,06:36:00,12,1,07:16:00
3,03-01-2022,0,13:18:00,87,0,13:38:00
1,27-03-2022,6,05:41:00,52,1,06:01:00
3,02-08-2021,0,09:07:00,15,0,09:27:00
1,29-06-2022,2,08:18:00,123,0,08:38:00
3,21-07-2021,2,14:05:00,98,0,14:25:00
3,10-01-2020,4,06:25:00,57,1,06:45:00
3,29-05-2020,4,22:26:00,66,0,22:46:00
3,16-12-2020,2,10:00:00,56,0,10:20:00
1,25-12-2022,6,04:58:00,32,0,05:18:00
2,03-04-2021,5,17:15:00,63,0,17:55:00
3,30-05-2021,6,10:48:00,18,1,11:08:00
3,18-12-2022,6,08:59:00,42,1,09:19:00
3,24-04-2021,5,17:16:00,72,1,17:36:00
3,23-12-2020,2,22:00:00,2,0,22:20:00
2,16-02-2020,6,14:24:00,49,0,15:04:00
1,19-04-2022,1,09:22:00,53,1,09:42:00
3,27-09-2022,1,21:45:00,58,1,22:05:00
1,25-03-2021,3,07:15:00,20,1,07:35:00
1,23-05-2020,5,11:41:00,57,0,12:01:00
2,21-08-2021,5,06:21:00,46,1,07:01:00
3,29-04-2020,2,16:00:00,43,1,16:20:00
2,09-12-2021,3,07:35:00,93,0,08:15:00
1,14-03-2022,0,13:21:00,36,0,13:41:00
1,31-12-2021,4,08:08:00,63,1,08:28:00
3,06-02-2020,3,20:00:00,45,1,20:20:00
3,27-07-2020,0,23:10:00,43,0,23:30:00
3,16-05-2022,0,08:53:00,47,0,09:13:00
3,31-08-2021,1,07:06:00,67,0,07:26:00
2,29-10-2020,3,07:31:00,86,0,08:11:00
3,28-12-2020,0,08:19:00,88,0,08:39:00
1,25-05-2022,2,07:19:00,135,1,07:39:00
3,20-07-2020,0,10:11:00,20,0,10:31:00
1,26-06-2021,5,07:16:00,74,1,07:36:00
3,25-04-2022,0,06:21:00,3,1,06:41:00
2,28-08-2022,6,14:55:00,93,0,15:35:00
2,18-09-2021,5,12:10:00,84,1,12:50:00
1,31-03-2022,3,08:59:00,77,1,09:19:00
1,24-07-2021,5,09:05:00,91,0,09:25:00
2,03-04-2020,4,19:38:00,97,1,20:18:00
1,30-08-2022,1,17:00:00,129,0,17:20:00
1,16-03-2021,1,10:45:00,12,0,11:05:00
2,22-01-2021,4,17:09:00,55,0,17:49:00
2,03-07-2020,4,19:18:00,66,1,19:58:00
1,06-03-2021,5,15:59:00,55,0,16:19:00
3,02-10-2020,4,22:03:00,62,0,22:23:00
2,09-04-2020,3,06:09:00,83,1,06:49:00
2,20-02-2022,6,18:40:00,69,0,19:20:00
2,04-09-2021,5,19:31:00,86,0,20:11:00
3,22-03-2022,1,12:17:00,37,1,12:37:00
1,20-05-2020,2,08:39:00,77,1,08:59:00
1,14-01-2021,3,09:23:00,109,0,09:43:00
2,05-01-2020,6,07:20:00,18,1,08:00:00
1,16-03-2022,2,20:42:00,58,0,21:02:00
1,27-02-2020,3,21:59:00,82,0,22:19:00
3,28-09-2020,0,19:20:00,89,0,19:40:00
1,24-09-2022,5,07:45:00,111,1,08:05:00
3,31-05-2022,1,20:46:00,13,1,21:06:00
3,29-12-2020,1,12:28:00,17,0,12:48:00
3,29-05-2022,6,15:11:00,67,1,15:31:00
2,30-07-2020,3,17:55:00,63,1,18:35:00
2,22-10-2020,3,06:11:00,30,0,06:51:00
1,01-09-2020,1,15:02:00,85,0,15:22:00
1,30-04-2021,4,07:40:00,1,1,08:00:00
2,31-01-2020,4,09:42:00,47,0,10:22:00
2,18-06-2021,4,14:05:00,76,0,14:45:00
